"2 규모 (10 ~ 29인)","대졸이상","여","30 ~ 34",31.8,20.8,167.1,163.1,4.0,0.6,3231
"2 규모 (10 ~ 29인)","대졸이상","여","35 ~ 39",37.0,20.7,164.3,160.3,4.1,0.6,3814
"2 규모 (10 ~ 29인)","대졸이상","여","40 ~ 44",42.0,20.8,162.0,158.6,3.5,0.4,3862
"2 규모 (10 ~ 29인)","대졸이상","여","45 ~ 49",46.9,20.6,161.0,157.7,3.3,0.4,3809
"2 규모 (10 ~ 29인)","대졸이상","여","50 ~ 54",51.8,20.7,161.3,158.4,2.9,0.6,4001
"2 규모 (10 ~ 29인)","대졸이상","여","55 ~ 59",56.7,20.5,158.4,155.3,3.1,0.8,3790
"2 규모 (10 ~ 29인)","대졸이상","여","60세 ~",63.7,20.0,147.4,145.3,2.1,0.3,3701
"3 규모(30 ~ 99 인)","고졸","전체","20 ~ 24",22.3,20.8,174.5,159.9,14.7,3.7,2550
"3 규모(30 ~ 99 인)","고졸","전체","25 ~ 29",27.0,21.5,186.0,164.3,21.7,6.3,2906
"3 규모(30 ~ 99 인)","고졸","전체","30 ~ 34",32.0,21.6,191.5,165.9,25.6,6.9,3199
"3 규모(30 ~ 99 인)","고졸","전체","35 ~ 39",37.0,21.6,190.6,166.3,24.3,6.8,3432
"3 규모(30 ~ 99 인)","고졸","전체","40 ~ 44",42.0,21.5,184.1,163.8,20.2,6.2,3555
"3 규모(30 ~ 99 인)","고졸","전체","45 ~ 49",47.2,21.7,180.6,162.3,18.3,6.1,3473
"3 규모(30 ~ 99 인)","고졸","전체","50 ~ 54",52.1,21.5,175.2,158.8,16.4,5.1,3346
"3 규모(30 ~ 99 인)","고졸","전체","55 ~ 59",57.0,21.3,167.2,153.1,14.1,4.0,2944
"3 규모(30 ~ 99 인)","고졸","전체","60세 ~",64.7,21.1,148.3,139.8,8.5,2.5,2320
"3 규모(30 ~ 99 인)","고졸","남","20 ~ 24",22.3,21.0,180.3,160.9,19.4,5.1,2631
"3 규모(30 ~ 99 인)","고졸","남","25 ~ 29",27.1,21.6,191.3,165.1,26.1,7.7,3033
